,longs,percent_diff,shorts
IWD,False,-0.03279061194396651,True
IWF,False,-0.061387330335957245,True
IWM,False,-0.052119815342415145,True
IWN,False,-0.038542670069914554,True
IXUS,False,-0.041809995110444614,True
IYR,False,-0.04790800042598386,True
JBHT,False,-0.016478252538800926,True
JCI,False,-0.07609191565125471,True
JD,True,0.012419051723105883,False
JNJ,False,-0.005977880120821225,True
JNK,False,-0.022249066701791775,True
JPM,False,-0.04956135179746615,True
KDP,False,-0.006993617921318198,True
KEY,False,-0.05280095947229014,True
KHC,True,0.029103089559363318,False
KKR,False,-0.04163719050025249,True
KLAC,False,-0.03176366877105362,True
KMB,True,0.053241724870938395,False
KMI,False,-0.017819968810067695,True
KMX,False,-0.02841703750794648,True
KO,True,0.00609319766629791,False
KR,False,-0.03775429742942739,True
KRE,False,-0.03674278624039695,True
KWEB,False,-0.03249457700650767,True
LABU,False,-0.3486897289385538,True
LCID,False,-0.12338930491868175,True
LEN,False,-0.005825834517357113,True
LH,False,-0.055858913598732386,True
LHX,False,-0.03709758338093206,True
LIN,False,-0.016761548852950066,True
LLY,False,-0.009468465043809665,True
LMT,False,-0.018349867274641513,True
LNG,True,0.0025526875806693313,False
LOW,False,-0.016475041610093548,True
LPLA,False,-0.037220670015127,True
LQD,False,-0.027897175060295307,True
LRCX,False,-0.02915603622220297,True
LULU,False,-0.0609691506889927,True
LUV,True,0.014650422848160257,False
LVS,False,-0.04353656001360696,True
LYB,True,0.023748951908014678,False
LYFT,False,-0.1899882891514958,True
LYV,False,-0.0805898665601639,True
M,False,-0.02374470109265911,True
MA,False,-0.005204545190487099,True
MAR,True,0.0007082767818382876,False
MARA,False,-0.25018294563305843,True
MBB,False,-0.012366834240833373,True
MCD,False,-0.004840918987746332,True
MCHI,False,-0.039954158834904344,True
MCHP,False,-0.02236153079070131,True
MCK,True,0.0026772244497778857,False
MCO,False,-0.05694120617194129,True
MDB,False,-0.14945922857465208,True
MDLZ,True,0.013969063603388133,False
MDT,False,-0.042586732730574346,True
MDY,False,-0.036266988051415656,True
MELI,False,-0.11684979594994471,True
MET,False,-0.035059894131322974,True
MMC,False,-0.03701557495794285,True
MMM,False,-0.004262938253555572,True
MNST,True,0.016955270514717825,False
MO,True,0.013962646407090716,False
MOS,False,-0.06597348874647195,True
MPC,True,0.037579824571694634,False
MPWR,False,-0.015497489983436549,True
MRK,True,0.020988174827842095,False
