,period_open,period_close,long_value,short_value,returns,long_exposure,pnl,short_exposure,capital_used,orders,transactions,gross_leverage,positions,net_leverage,starting_exposure,ending_exposure,starting_value,ending_value,starting_cash,ending_cash,portfolio_value,longs_count,shorts_count,price,algorithm_period_return,algo_volatility,benchmark_period_return,benchmark_volatility,alpha,beta,sharpe,sortino,max_drawdown,max_leverage,excess_return,treasury_period_return,trading_days,period_label
2015-04-30 20:00:00+00:00,2015-04-30 13:31:00+00:00,2015-04-30 20:00:00+00:00,62.576,0.0,-0.005209527650156365,62.576,-1.7439999999999714,0.0,0.0,[],[],0.18790054869806833,"[{'sid': Equity(39 [AAPL]), 'amount': 2, 'cost_basis': 14.774383, 'last_sale_price': 31.288}]",0.18790054869806833,64.32000000000001,62.576,64.32000000000001,62.576,270.451234,270.451234,333.027234,1,0,31.288,0.11009077999999972,0.03532618286060114,0.6330556121090609,0.11829584284636573,0.011970337973892686,0.130481461095365,0.9088938773916041,1.3266347861740366,-0.06941333232672507,0.19735793577773333,0.0,0.0,836,2015-04
2015-05-01 20:00:00+00:00,2015-05-01 13:31:00+00:00,2015-05-01 20:00:00+00:00,64.474,0.0,0.005699233594811615,64.474,1.8979999999999677,0.0,0.0,[],[],0.19250266463947593,"[{'sid': Equity(39 [AAPL]), 'amount': 2, 'cost_basis': 14.774383, 'last_sale_price': 32.237}]",0.19250266463947593,62.576,64.474,62.576,64.474,270.451234,270.451234,334.925234,1,0,32.237,0.11641744666666631,0.03543717521094044,0.6508934584122885,0.11836029973631822,0.013109028011345725,0.1314178639649101,0.9533855021967753,1.396782290168017,-0.06941333232672507,0.19735793577773333,0.0,0.0,837,2015-05
2015-05-04 20:00:00+00:00,2015-05-04 13:31:00+00:00,2015-05-04 20:00:00+00:00,64.35,0.0,-0.00037023188285645325,64.35,-0.1239999999999668,0.0,0.0,[],[],0.19220359265461964,"[{'sid': Equity(39 [AAPL]), 'amount': 2, 'cost_basis': 14.774383, 'last_sale_price': 32.175}]",0.19220359265461964,64.474,64.35,64.474,64.35,270.451234,270.451234,334.801234,1,0,32.175,0.11600411333333316,0.03541707941366991,0.6557483595132547,0.1182963788341345,0.012869249103482527,0.13137766896860123,0.9496445901323635,1.391293922659504,-0.06941333232672507,0.19735793577773333,0.0,0.0,838,2015-05
2015-05-05 20:00:00+00:00,2015-05-05 13:31:00+00:00,2015-05-05 20:00:00+00:00,62.9,0.0,-0.004330927884214519,62.9,-1.4500000000000455,0.0,0.0,[],[],0.18868986697676363,"[{'sid': Equity(39 [AAPL]), 'amount': 2, 'cost_basis': 14.774383, 'last_sale_price': 31.45}]",0.18868986697676363,64.35,62.9,64.35,62.9,270.451234,270.451234,333.351234,1,0,31.45,0.11117077999999969,0.035480403405923955,0.6361486539395154,0.11842304474086893,0.011891450308013196,0.13213237688880358,0.910156594236466,1.3302181570402842,-0.06941333232672507,0.19735793577773333,0.0,0.0,839,2015-05
2015-05-06 20:00:00+00:00,2015-05-06 13:31:00+00:00,2015-05-06 20:00:00+00:00,62.506,0.0,-0.0011819365276447558,62.506,-0.39400000000000546,0.0,0.0,[],[],0.18772981517500234,"[{'sid': Equity(39 [AAPL]), 'amount': 2, 'cost_basis': 14.774383, 'last_sale_price': 31.253}]",0.18772981517500234,62.9,62.506,62.9,62.506,270.451234,270.451234,332.95723399999997,1,0,31.253,0.10985744666666619,0.03546651226974376,0.6288584718024193,0.11838503005898282,0.011686380581621414,0.13220185207688562,0.8994315033616772,1.314343539924607,-0.06941333232672507,0.19735793577773333,0.0,0.0,840,2015-05
2015-05-07 20:00:00+00:00,2015-05-07 13:31:00+00:00,2015-05-07 20:00:00+00:00,62.63,0.0,0.00037242020096805994,62.63,0.12400000000002365,0.0,0.0,[],[],0.18803220838313575,"[{'sid': Equity(39 [AAPL]), 'amount': 2, 'cost_basis': 14.774383, 'last_sale_price': 31.315}]",0.18803220838313575,62.506,62.63,62.506,62.63,270.451234,270.451234,333.081234,1,0,31.315,0.11027077999999979,0.03544565040874711,0.6350054030350942,0.11832722595958511,0.011635891266384535,0.13219016210111018,0.9020390546194901,1.318162532489563,-0.06941333232672507,0.19735793577773333,0.0,0.0,841,2015-05
2015-05-08 20:00:00+00:00,2015-05-08 13:31:00+00:00,2015-05-08 20:00:00+00:00,63.81,0.0,0.00354267932128538,63.81,1.1800000000000068,0.0,0.0,[],[],0.19089859519874805,"[{'sid': Equity(39 [AAPL]), 'amount': 2, 'cost_basis': 14.774383, 'last_sale_price': 31.905}]",0.19089859519874805,62.63,63.81,62.63,63.81,270.451234,270.451234,334.261234,1,0,31.905,0.11420411333333313,0.03547382413214415,0.6570090677023765,0.11846546812535279,0.012080749325090956,0.13266072356089972,0.930141252072724,1.361117552291751,-0.06941333232672507,0.19735793577773333,0.0,0.0,842,2015-05
2015-05-11 20:00:00+00:00,2015-05-11 13:31:00+00:00,2015-05-11 20:00:00+00:00,63.160000000000004,0.0,-0.0019445868496973384,63.160000000000004,-0.6499999999999773,0.0,0.0,[],[],0.1893221617351171,"[{'sid': Equity(39 [AAPL]), 'amount': 2, 'cost_basis': 14.774383, 'last_sale_price': 31.580000000000002}]",0.1893221617351171,63.81,63.160000000000004,63.81,63.160000000000004,270.451234,270.451234,333.611234,1,0,31.580000000000002,0.11203744666666648,0.03547090934073232,0.6485756346608593,0.11843635872478141,0.011656974731889092,0.1328211961061332,0.9127261478361943,1.335031420706879,-0.06941333232672507,0.19735793577773333,0.0,0.0,843,2015-05
2015-05-12 20:00:00+00:00,2015-05-12 13:31:00+00:00,2015-05-12 20:00:00+00:00,62.936,0.0,-0.0006714402189468283,62.936,-0.22400000000004638,0.0,0.0,[],[],0.18877747430484998,"[{'sid': Equity(39 [AAPL]), 'amount': 2, 'cost_basis': 14.774383, 'last_sale_price': 31.468}]",0.18877747430484998,63.160000000000004,62.936,63.160000000000004,62.936,270.451234,270.451234,333.387234,1,0,31.468,0.11129077999999959,0.03545255912802058,0.6437129030742463,0.11838217022571292,0.011554722395441974,0.13284596979683636,0.9064617773398784,1.3258165562548778,-0.06941333232672507,0.19735793577773333,0.0,0.0,844,2015-05
2015-05-13 20:00:00+00:00,2015-05-13 13:31:00+00:00,2015-05-13 20:00:00+00:00,63.006,0.0,0.00020996604807010932,63.006,0.06999999999999318,0.0,0.0,[],[],0.1889477677368367,"[{'sid': Equity(39 [AAPL]), 'amount': 2, 'cost_basis': 14.774383, 'last_sale_price': 31.503}]",0.1889477677368367,62.936,63.006,62.936,63.006,270.451234,270.451234,333.45723399999997,1,0,31.503,0.1115241133333329,0.03543157880493027,0.6432117519928564,0.11831308840986632,0.011617158902547997,0.13284194683739917,0.9076924231527554,1.3276166733862207,-0.06941333232672507,0.19735793577773333,0.0,0.0,845,2015-05
